t,E,dt,integrator,sx,sy,vx,vy,ax,ay
0.005,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.01,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.015,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.02,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.024999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.029999997,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.034999996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.039999995,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.044999994,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.049999993,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.054999992,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.05999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06499999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.074999996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.08,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.085,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.09,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.095000006,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.10000001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.10500001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.110000014,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.11500002,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.12000002,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.12500001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.13000001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.135,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.14,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.145,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.14999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.15499999,1.2186728E8,0.005,EXPLICIT_EULER,500.0,750.0,0.0,-2499.951,0.0,-499990.22
0.15999998,1.49991552E8,0.005,EXPLICIT_EULER,500.0,737.50024,0.0,-4999.902,0.0,-499990.22
0.16499998,1.742748E8,0.005,EXPLICIT_EULER,500.0,712.50073,0.0,-7291.5234,0.0,-458324.38
0.16999997,1.893136E8,0.005,EXPLICIT_EULER,500.0,676.0431,0.0,-9166.486,0.0,-374992.66
0.17499997,1.92205904E8,0.005,EXPLICIT_EULER,500.0,630.21063,0.0,-10433.822,0.0,-253467.19
0.17999996,1.83997392E8,0.005,EXPLICIT_EULER,500.0,578.0415,0.0,-10937.284,0.0,-100692.305
0.18499996,1.70037488E8,0.005,EXPLICIT_EULER,500.0,523.3551,0.0,-10571.26,0.0,73204.79
0.18999995,1.58935024E8,0.005,EXPLICIT_EULER,500.0,470.4988,0.0,-9293.796,0.0,255492.8
0.19499995,1.89244048E8,0.005,EXPLICIT_EULER,500.0,424.02985,0.0,-10468.728,0.0,-234986.25
0.19999994,1.80099424E8,0.005,EXPLICIT_EULER,500.0,371.68622,0.0,-10869.176,0.0,-80089.69
