t,E,dt,integrator,sx,sy,vx,vy,ax,ay
0.001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.002,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.003,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.004,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.0050000004,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.0060000005,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.0070000007,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.008,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.009000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.010000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.011000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.012000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.013000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.014000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.0150000015,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.016,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.017,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.018000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.019000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.020000001,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.021000002,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.022000002,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.023000002,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.024000002,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.025000002,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.026000002,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.027000003,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.028000003,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.029000003,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.030000003,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.031000003,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.032,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.033,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.033999998,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.034999996,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.035999995,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.036999993,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.03799999,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.03899999,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.039999988,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.040999986,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.041999985,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.042999983,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.04399998,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.04499998,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.045999978,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.046999976,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.047999974,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.048999973,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.04999997,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.05099997,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.051999968,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.052999966,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.053999964,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.054999962,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.05599996,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.05699996,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.057999957,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.058999956,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.059999954,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.060999952,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06199995,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06299995,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06399995,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06499995,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.065999955,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06699996,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06799996,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06899996,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06999996,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.070999965,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.07199997,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.07299997,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.07399997,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.07499997,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.075999975,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.07699998,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.07799998,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.07899998,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.07999998,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.080999985,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.08199999,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.08299999,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.08399999,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.08499999,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.085999995,-7350.75,0.001,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.087,1.12867632E8,0.001,EXPLICIT_EULER,500.0,750.0,0.0,-499.99023,0.0,-499990.22
0.088,1.13972672E8,0.001,EXPLICIT_EULER,500.0,749.5,0.0,-993.3139,0.0,-493323.66
0.089,1.15022416E8,0.001,EXPLICIT_EULER,500.0,748.5067,0.0,-1478.3933,0.0,-485079.34
0.09,1.15989336E8,0.001,EXPLICIT_EULER,500.0,747.0283,0.0,-1953.694,0.0,-475300.66
0.091000006,1.1684756E8,0.001,EXPLICIT_EULER,500.0,745.07465,0.0,-2417.7295,0.0,-464035.38
0.09200001,1.17573432E8,0.001,EXPLICIT_EULER,500.0,742.6569,0.0,-2869.0654,0.0,-451335.97
0.09300001,1.18145616E8,0.001,EXPLICIT_EULER,500.0,739.78784,0.0,-3306.3245,0.0,-437259.1
0.09400001,1.18545352E8,0.001,EXPLICIT_EULER,500.0,736.4815,0.0,-3728.19,0.0,-421865.34
0.09500001,1.18756784E8,0.001,EXPLICIT_EULER,500.0,732.7533,0.0,-4133.409,0.0,-405219.38
0.096000016,1.18766896E8,0.001,EXPLICIT_EULER,500.0,728.6199,0.0,-4520.7983,0.0,-387389.1
0.09700002,1.18565832E8,0.001,EXPLICIT_EULER,500.0,724.09906,0.0,-4889.244,0.0,-368445.78
0.09800002,1.18146816E8,0.001,EXPLICIT_EULER,500.0,719.20984,0.0,-5237.708,0.0,-348463.8
0.09900002,1.17506288E8,0.001,EXPLICIT_EULER,500.0,713.9721,0.0,-5565.228,0.0,-327520.22
0.100000024,1.16643672E8,0.001,EXPLICIT_EULER,500.0,708.40686,0.0,-5870.9224,0.0,-305694.22
0.101000026,1.15561672E8,0.001,EXPLICIT_EULER,500.0,702.53595,0.0,-6153.9897,0.0,-283067.44
0.10200003,1.14265904E8,0.001,EXPLICIT_EULER,500.0,696.38196,0.0,-6413.7134,0.0,-259723.5
0.10300003,1.12764808E8,0.001,EXPLICIT_EULER,500.0,689.96826,0.0,-6649.4604,0.0,-235747.2
0.10400003,1.1106956E8,0.001,EXPLICIT_EULER,500.0,683.3188,0.0,-6860.6855,0.0,-211224.94
0.105000034,1.0919372E8,0.001,EXPLICIT_EULER,500.0,676.4581,0.0,-7046.929,0.0,-186243.67
0.106000036,1.07153272E8,0.001,EXPLICIT_EULER,500.0,669.4112,0.0,-7207.821,0.0,-160891.58
0.10700004,1.04965976E8,0.001,EXPLICIT_EULER,500.0,662.20337,0.0,-7343.077,0.0,-135256.56
0.10800004,1.02651472E8,0.001,EXPLICIT_EULER,500.0,654.8603,0.0,-7452.5044,0.0,-109427.06
0.10900004,1.0023076E8,0.001,EXPLICIT_EULER,500.0,647.4078,0.0,-7535.9956,0.0,-83491.09
0.110000044,9.772596E7,0.001,EXPLICIT_EULER,500.0,639.87177,0.0,-7593.5317,0.0,-57536.176
0.111000046,9.5159976E7,0.001,EXPLICIT_EULER,500.0,632.27826,0.0,-7625.1807,0.0,-31648.99
0.11200005,9.2556208E7,0.001,EXPLICIT_EULER,500.0,624.6531,0.0,-7631.096,0.0,-5915.3228
0.11300005,8.9938176E7,0.001,EXPLICIT_EULER,500.0,617.022,0.0,-7611.515,0.0,19580.828
0.11400005,8.7329264E7,0.001,EXPLICIT_EULER,500.0,609.41046,0.0,-7566.7583,0.0,44756.76
0.115000054,8.47524E7,0.001,EXPLICIT_EULER,500.0,601.8437,0.0,-7497.2266,0.0,69531.71
0.116000056,8.2229704E7,0.001,EXPLICIT_EULER,500.0,594.34644,0.0,-7403.3994,0.0,93827.19
0.11700006,7.9782288E7,0.001,EXPLICIT_EULER,500.0,586.94305,0.0,-7285.8325,0.0,117567.01
0.11800006,7.7429936E7,0.001,EXPLICIT_EULER,500.0,579.6572,0.0,-7145.1553,0.0,140677.39
0.11900006,7.5190904E7,0.001,EXPLICIT_EULER,500.0,572.5121,0.0,-6982.0674,0.0,163087.8
0.120000064,7.308168E7,0.001,EXPLICIT_EULER,500.0,565.53,0.0,-6797.337,0.0,184730.42
0.12100007,7.1116824E7,0.001,EXPLICIT_EULER,500.0,558.73267,0.0,-6591.796,0.0,205540.88
0.12200007,6.9308816E7,0.001,EXPLICIT_EULER,500.0,552.14087,0.0,-6366.338,0.0,225458.2
0.12300007,6.7667864E7,0.001,EXPLICIT_EULER,500.0,545.77454,0.0,-6121.913,0.0,244424.75
0.12400007,6.6201912E7,0.001,EXPLICIT_EULER,500.0,539.65265,0.0,-5859.5264,0.0,262386.84
0.12500007,6.4916496E7,0.001,EXPLICIT_EULER,500.0,533.79315,0.0,-5580.2314,0.0,279294.66
0.12600008,6.3814788E7,0.001,EXPLICIT_EULER,500.0,528.2129,0.0,-5285.129,0.0,295102.38
0.12700008,6.2897588E7,0.001,EXPLICIT_EULER,500.0,522.92773,0.0,-4975.3604,0.0,309768.56
0.12800008,6.2163264E7,0.001,EXPLICIT_EULER,500.0,517.9524,0.0,-4652.105,0.0,323255.47
0.12900008,6.1607888E7,0.001,EXPLICIT_EULER,500.0,513.3003,0.0,-4316.575,0.0,335529.9
