t,E,dt,integrator,sx,sy,vx,vy,ax,ay
0.005,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.01,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.015,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.02,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.024999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.029999997,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.034999996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.039999995,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.044999994,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.049999993,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.054999992,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.05999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06499999,1.12073392E8,0.005,HEUN,500.0,743.7501,0.0,-2416.6194,0.0,-446935.72
0.06999999,1.09528016E8,0.005,HEUN,500.0,726.0803,0.0,-4476.116,0.0,-360576.4
0.074999996,1.03774704E8,0.005,HEUN,500.0,699.19257,0.0,-6032.3975,0.0,-250200.12
0.08,9.5008656E7,0.005,HEUN,500.0,665.9031,0.0,-6990.348,0.0,-126462.47
0.085,8.447048E7,0.005,HEUN,500.0,629.37054,0.0,-7310.319,0.0,-421.09375
0.09,7.3918488E7,0.005,HEUN,500.0,592.81366,0.0,-7007.758,0.0,117401.04
0.095000006,6.5007116E7,0.005,HEUN,500.0,559.2424,0.0,-6148.3296,0.0,217846.3
0.10000001,5.8777052E7,0.005,HEUN,500.0,531.2238,0.0,-4839.2256,0.0,293786.75
0.10500001,5.540176E7,0.005,HEUN,500.0,510.7,0.0,-3217.6218,0.0,340578.03
0.110000014,6.332866E7,0.005,HEUN,500.0,498.86914,0.0,-3104.0938,0.0,-288166.1
0.11500002,6.041154E7,0.005,HEUN,500.0,479.74658,0.0,-4367.559,0.0,-207578.02
0.12000002,5.5686112E7,0.005,HEUN,500.0,455.31406,0.0,-5188.871,0.0,-115185.44
0.12500001,4.976386E7,0.005,HEUN,500.0,427.92987,0.0,-5529.3975,0.0,-19364.469
0.13000001,4.3623168E7,0.005,HEUN,500.0,400.04083,0.0,-5392.601,0.0,71775.04
0.135,3.8253216E7,0.005,HEUN,500.0,373.975,0.0,-4820.9966,0.0,151039.73
0.14,3.4340076E7,0.005,HEUN,500.0,351.75803,0.0,-3890.0964,0.0,212684.33
0.145,3.208718E7,0.005,HEUN,500.0,334.9661,0.0,-2700.035,0.0,252789.95
0.14999999,3.1209276E7,0.005,HEUN,500.0,324.6258,0.0,-1365.7152,0.0,269466.7
0.15499999,3.1079666E7,0.005,HEUN,500.0,321.16556,0.0,-6.3880615,0.0,262876.47
0.15999998,3.0965398E7,0.005,HEUN,500.0,324.4196,0.0,1264.4476,0.0,235085.2
0.16499998,3.0266052E7,0.005,HEUN,500.0,333.6804,0.0,2348.0073,0.0,189768.42
0.16999997,2.8681088E7,0.005,HEUN,500.0,347.79254,0.0,3167.3877,0.0,131802.83
0.17499997,2.6262838E7,0.005,HEUN,500.0,365.277,0.0,3672.4602,0.0,66786.97
0.17999996,2.3352922E7,0.005,HEUN,500.0,384.47415,0.0,3842.2446,0.0,532.7031
0.18499996,2.0436794E7,0.005,HEUN,500.0,403.69205,0.0,3684.7258,0.0,-61426.7
0.18999995,1.797201E7,0.005,HEUN,500.0,421.34784,0.0,3234.3,0.0,-114273.664
0.19499995,1.6247103E7,0.005,HEUN,500.0,436.0909,0.0,2547.2148,0.0,-154256.11
