dt,MaxEnergy
0.001,8.0833835E14
0.003,9.243695E28
0.005,Infinity
0.007,Infinity
0.009000001,Infinity
0.011000001,Infinity
0.013000001,Infinity
0.0150000015,Infinity
0.017,Infinity
0.019000001,Infinity
0.021000002,Infinity
0.023000002,Infinity
0.025000002,Infinity
0.027000003,Infinity
0.029000003,Infinity
0.031000003,Infinity
0.033000004,Infinity
0.035000004,Infinity
0.037000004,Infinity
0.039000005,Infinity
0.041000005,Infinity
0.043000005,Infinity
0.045000006,Infinity
0.047000006,Infinity
0.049000006,Infinity
0.051000006,Infinity
