dt,MaxEnergy
0.001,1.52832048E8
0.003,5.2909152E8
0.005,3.10484429E9
0.007,3.3446103E9
0.009000001,8.581795E11
0.011000001,2.9887144E14
0.013000001,6.2124166E20
0.0150000015,7.775146E25
0.017,4.6754113E34
0.019000001,Infinity
0.021000002,Infinity
0.023000002,Infinity
0.025000002,Infinity
0.027000003,Infinity
0.029000003,Infinity
0.031000003,Infinity
0.033000004,Infinity
0.035000004,Infinity
0.037000004,Infinity
0.039000005,Infinity
0.041000005,Infinity
0.043000005,Infinity
0.045000006,Infinity
0.047000006,Infinity
0.049000006,Infinity
0.051000006,Infinity
0.053000007,Infinity
0.055000007,Infinity
0.057000007,Infinity
0.059000008,Infinity
0.061000008,Infinity
