dt,MaxEnergy
0.001,1.81654944E8
0.003,3.4900016E8
0.005,1.05805421E9
0.007,2.92064788E10
0.009000001,1.19355369E13
0.011000001,1.34473829E15
0.013000001,7.887512E19
0.0150000015,7.4215974E26
0.017,2.8475562E34
0.019000001,Infinity
0.021000002,Infinity
0.023000002,Infinity
0.025000002,Infinity
0.027000003,Infinity
0.029000003,Infinity
0.031000003,Infinity
0.033000004,Infinity
0.035000004,Infinity
0.037000004,Infinity
0.039000005,Infinity
0.041000005,Infinity
0.043000005,Infinity
0.045000006,Infinity
0.047000006,Infinity
0.049000006,Infinity
0.051000006,Infinity
