x,y
11.3449,256.5500
22.5764,262.9365
33.6956,269.1611
44.7036,275.2254
55.6015,281.1311
66.3904,286.8798
77.0714,292.4729
87.6456,297.9121
98.1141,303.1989
108.4779,308.3348
118.7381,313.3214
128.8956,318.1601
138.9516,322.8524
148.9070,327.3997
158.7629,331.8036
168.5202,336.0654
178.1799,340.1866
187.7430,344.1685
197.2105,348.0127
206.5834,351.7203
215.8625,355.2929
225.0488,358.7318
234.1432,362.0383
243.1467,365.2137
252.0602,368.2593
260.8845,371.1764
269.6206,373.9664
278.2693,376.6305
286.8315,379.1699
295.3082,381.5859
303.7000,383.8798
312.0079,386.0526
320.2328,388.1058
328.3754,390.0404
336.4366,391.8577
344.4171,393.5587
352.3179,395.1448
360.1396,396.6170
367.8832,397.9764
375.5493,399.2242
383.1387,400.3616
390.6523,401.3896
398.0907,402.3093
405.4547,403.1217
412.7451,403.8281
419.9626,404.4293
427.1078,404.9266
434.1817,405.3208
441.1848,405.6131
448.1179,405.8045
454.9816,405.8960
461.7767,405.8885
468.5039,405.7831
475.1638,405.5807
481.7571,405.2824
488.2844,404.8890
494.7465,404.4016
501.1440,403.8210
507.4775,403.1482
513.7476,402.3841
519.9551,401.5297
526.1005,400.5858
532.1844,399.5533
538.2075,398.4331
544.1703,397.2261
550.0735,395.9332
555.9177,394.5552
561.7034,393.0930
567.4313,391.5474
573.1019,389.9192
578.7158,388.2093
584.2736,386.4185
589.7758,384.5476
595.2229,382.5974
600.6156,380.5687
605.9543,378.4622
611.2397,376.2789
616.4723,374.0193
621.6525,371.6844
626.7809,369.2747
631.8580,366.7912
636.8844,364.2344
641.8605,361.6053
646.7868,358.9044
651.6639,356.1325
656.4922,353.2903
661.2722,350.3786
666.0044,347.3979
670.6893,344.3491
675.3273,341.2327
679.9190,338.0494
684.4647,334.8000
688.9650,331.4851
693.4203,328.1053
697.8310,324.6613
702.1976,321.1537
706.5206,317.5833
710.8003,313.9504
715.0372,310.2560
719.2318,306.5004
723.3844,302.6844
727.4955,298.8085
731.5654,294.8734
735.5947,290.8796
739.5837,286.8278
743.5328,282.7184
747.4424,278.5522
751.3129,274.3296
755.1447,270.0512
758.9381,265.7176
762.6937,261.3293
766.4117,256.8869
770.0925,252.3909
773.7365,247.8419
777.3440,243.2403
780.9155,238.5868
784.4512,233.8817
787.9517,229.1257
791.4171,224.3193
794.8478,219.4629
798.2443,214.5571
801.6068,209.6023
804.9356,204.5990
808.2312,199.5478
811.4938,194.4491
814.7238,189.3033
817.9215,184.1111
821.0872,178.8727
824.2213,173.5887
827.3240,168.2595
830.3957,162.8856
833.4366,157.4674
836.4472,152.0054
839.4277,146.5000
842.3783,140.9517
845.2994,135.3608
848.1913,129.7279
851.0544,124.0532
853.8888,118.3373
856.6948,112.5805
859.4728,106.7833
862.2230,100.9461
864.9457,95.0692
867.6412,89.1531
870.3097,83.1981
872.9515,77.2047
875.5670,71.1732
878.1562,65.1040
880.7195,58.9974
883.2573,52.8540
885.7696,46.6739
888.2568,40.4577
890.7192,34.2056
893.1569,27.9180
895.5703,21.5953
897.9595,15.2378
900.3248,8.8458
902.6665,2.4198
