x,y
11.2882,256.4682
22.4641,262.7746
33.5288,268.9207
44.4834,274.9081
55.3290,280.7384
66.0667,286.4132
76.6975,291.9341
87.2226,297.3024
97.6429,302.5198
107.9596,307.5878
118.1736,312.5079
128.2860,317.2814
138.2977,321.9100
148.2099,326.3950
158.0234,330.7378
167.7393,334.9399
177.3585,339.0027
186.8820,342.9275
196.3107,346.7158
205.6456,350.3688
214.8876,353.8880
224.0377,357.2746
233.0967,360.5301
242.0656,363.6556
250.9453,366.6525
259.7366,369.5220
268.4404,372.2655
277.0576,374.8842
285.5891,377.3792
294.0357,379.7520
302.3983,382.0036
310.6776,384.1353
318.8746,386.1483
326.9900,388.0437
335.0247,389.8227
342.9794,391.4865
350.8549,393.0363
358.6521,394.4731
366.3717,395.7980
374.0146,397.0123
381.5813,398.1170
389.0728,399.1131
396.4897,400.0019
403.8329,400.7842
411.1030,401.4613
418.3007,402.0341
425.4268,402.5037
432.4820,402.8711
439.4670,403.1373
446.3825,403.3033
453.2292,403.3702
460.0078,403.3389
466.7189,403.2104
473.3633,402.9856
479.9415,402.6656
486.4543,402.2512
492.9023,401.7434
499.2861,401.1432
505.6064,400.4514
511.8639,399.6690
518.0590,398.7968
524.1926,397.8358
530.2651,396.7869
536.2772,395.6508
542.2294,394.4286
548.1224,393.1210
553.9568,391.7289
559.7332,390.2531
565.4521,388.6944
571.1141,387.0538
576.7197,385.3319
582.2696,383.5297
587.7642,381.6479
593.2042,379.6873
598.5900,377.6487
603.9222,375.5328
609.2014,373.3405
614.4280,371.0725
619.6027,368.7295
624.7258,366.3123
629.7980,363.8217
634.8198,361.2583
639.7915,358.6229
644.7138,355.9162
649.5871,353.1389
654.4119,350.2917
659.1887,347.3753
663.9180,344.3905
668.6003,341.3378
673.2359,338.2179
677.8254,335.0316
682.3693,331.7795
686.8679,328.4622
691.3218,325.0804
695.7313,321.6347
700.0970,318.1258
704.4193,314.5543
708.6985,310.9207
712.9351,307.2259
717.1296,303.4702
721.2824,299.6545
725.3939,295.7791
729.4644,291.8448
733.4944,287.8522
737.4844,283.8017
741.4346,279.6941
745.3456,275.5297
749.2176,271.3093
753.0511,267.0334
756.8464,262.7025
760.6040,258.3171
764.3242,253.8779
768.0074,249.3853
771.6539,244.8400
775.2642,240.2423
778.8385,235.5928
782.3773,230.8921
785.8808,226.1406
789.3495,221.3389
792.7837,216.4875
796.1837,211.5868
799.5499,206.6373
802.8826,201.6396
806.1821,196.5941
809.4489,191.5012
812.6830,186.3615
815.8851,181.1755
819.0552,175.9435
822.1938,170.6660
825.3012,165.3436
828.3777,159.9766
831.4235,154.5654
834.4391,149.1106
837.4246,143.6126
840.3804,138.0717
843.3069,132.4884
846.2042,126.8632
849.0726,121.1964
851.9126,115.4885
854.7243,109.7399
857.5080,103.9509
860.2640,98.1220
862.9926,92.2536
865.6940,86.3461
868.3685,80.3998
871.0165,74.4152
873.6381,68.3926
876.2336,62.3324
878.8033,56.2350
881.3474,50.1007
883.8662,43.9300
886.3599,37.7231
888.8289,31.4805
891.2732,25.2024
893.6932,18.8893
896.0892,12.5416
898.4613,6.1594
900.8098,-0.2568
