x,y
11.2315,256.3865
22.3507,262.6111
33.3586,268.6754
44.2565,274.5811
55.0454,280.3298
65.7265,285.9229
76.3007,291.3621
86.7692,296.6489
97.1330,301.7849
107.3931,306.7714
117.5507,311.6101
127.6067,316.3024
137.5621,320.8497
147.4179,325.2536
157.1752,329.5154
166.8350,333.6366
176.3981,337.6185
185.8656,341.4627
195.2384,345.1703
204.5175,348.7430
213.7039,352.1818
222.7983,355.4883
231.8018,358.6637
240.7153,361.7093
249.5396,364.6264
258.2757,367.4164
266.9244,370.0805
275.4866,372.6199
283.9633,375.0359
292.3551,377.3298
300.6630,379.5027
308.8879,381.5558
317.0305,383.4904
325.0917,385.3077
333.0722,387.0088
340.9730,388.5948
348.7947,390.0670
356.5383,391.4264
364.2044,392.6743
371.7938,393.8116
379.3074,394.8396
386.7458,395.7593
394.1098,396.5717
401.4002,397.2781
408.6176,397.8793
415.7629,398.3766
422.8368,398.7708
429.8399,399.0631
436.7730,399.2545
443.6367,399.3460
450.4318,399.3385
457.1590,399.2331
463.8189,399.0307
470.4122,398.7324
476.9395,398.3390
483.4016,397.8516
489.7991,397.2710
496.1326,396.5982
502.4027,395.8341
508.6102,394.9797
514.7556,394.0358
520.8395,393.0033
526.8625,391.8831
532.8254,390.6761
538.7286,389.3832
544.5728,388.0052
550.3585,386.5430
556.0864,384.9974
561.7570,383.3692
567.3709,381.6593
572.9287,379.8685
578.4309,377.9976
583.8781,376.0474
589.2708,374.0187
594.6095,371.9123
599.8949,369.7289
605.1274,367.4693
610.3076,365.1344
615.4360,362.7247
620.5132,360.2412
625.5396,357.6844
630.5156,355.0553
635.4420,352.3544
640.3190,349.5825
645.1473,346.7404
649.9274,343.8286
654.6595,340.8479
659.3444,337.7991
663.9825,334.6827
668.5742,331.4995
673.1199,328.2500
677.6202,324.9351
682.0754,321.5553
686.4861,318.1113
690.8528,314.6038
695.1757,311.0333
699.4554,307.4005
703.6924,303.7060
707.8870,299.9504
712.0396,296.1344
716.1506,292.2585
720.2206,288.3234
724.2499,284.3297
728.2388,280.2778
732.1879,276.1685
736.0975,272.0022
739.9680,267.7796
743.7998,263.5012
747.5933,259.1676
751.3488,254.7793
755.0668,250.3369
758.7476,245.8409
762.3916,241.2919
765.9991,236.6903
769.5706,232.0368
773.1064,227.3317
776.6068,222.5757
780.0722,217.7693
783.5030,212.9129
786.8994,208.0071
790.2619,203.0523
793.5908,198.0490
796.8864,192.9978
800.1490,187.8991
803.3790,182.7534
806.5767,177.5611
809.7424,172.3227
812.8764,167.0387
815.9791,161.7095
819.0508,156.3356
822.0918,150.9174
825.1024,145.4554
828.0828,139.9500
831.0334,134.4017
833.9546,128.8108
836.8465,123.1779
839.7095,117.5032
842.5439,111.7873
845.3500,106.0305
848.1279,100.2333
850.8781,94.3961
853.6008,88.5192
856.2963,82.6031
858.9648,76.6481
861.6067,70.6547
864.2221,64.6232
866.8113,58.5540
869.3747,52.4474
871.9124,46.3040
874.4247,40.1239
876.9120,33.9077
879.3743,27.6556
881.8121,21.3680
884.2254,15.0453
886.6146,8.6878
888.9800,2.2958
