x,y
55.3065,280.7061
107.9169,307.5263
157.9625,330.6501
205.5684,350.2575
250.8535,366.5201
293.9309,379.6009
334.9083,389.6550
373.8881,396.8300
410.9676,401.2662
446.2395,403.0972
479.7918,402.4499
511.7085,399.4452
542.0693,394.1979
570.9500,386.8175
598.4227,377.4078
624.5561,366.0679
649.4155,352.8918
673.0630,337.9691
695.5577,321.3849
716.9558,303.2201
737.3107,283.5519
756.6734,262.4535
775.0921,239.9947
792.6129,216.2417
809.2796,191.2577
825.1338,165.1027
840.2151,137.8337
854.5612,109.5051
868.2078,80.1685
881.1892,49.8731
893.5378,18.6656
905.2844,-13.4095
