t, n, Tsim
0.005, 100,3.0
0.01, 100,3.0
0.015, 100,3.0
0.02, 100,4.0
0.024999999, 100,2.0
0.029999997, 100,2.0
0.034999996, 100,2.0
0.039999995, 100,2.0
0.044999994, 100,2.0
0.049999993, 100,6.0
0.054999992, 100,3.0
0.05999999, 100,2.0
0.06499999, 100,1.0
0.06999999, 100,1.0
0.074999996, 100,1.0
0.08, 100,1.0
0.085, 100,0.0
0.09, 100,0.0
0.095000006, 100,1.0
0.10000001, 100,0.0
0.10500001, 100,1.0
0.110000014, 100,0.0
0.11500002, 100,0.0
0.12000002, 100,0.0
0.12500001, 100,1.0
0.13000001, 100,0.0
0.135, 100,0.0
0.14, 100,0.0
0.145, 100,1.0
0.14999999, 100,0.0
0.15499999, 100,0.0
0.15999998, 100,0.0
0.16499998, 100,0.0
0.16999997, 100,0.0
0.17499997, 100,0.0
0.17999996, 100,0.0
0.18499996, 100,0.0
0.18999995, 100,0.0
0.19499995, 100,0.0
0.19999994, 100,0.0
0.20499994, 100,0.0
0.20999993, 100,0.0
0.21499993, 100,0.0
0.21999992, 100,0.0
0.22499992, 100,0.0
0.22999991, 100,1.0
0.23499991, 100,0.0
0.2399999, 100,0.0
0.2449999, 100,0.0
0.2499999, 100,0.0
0.2549999, 100,0.0
0.2599999, 100,0.0
0.2649999, 100,0.0
0.2699999, 100,0.0
0.2749999, 100,0.0
0.27999988, 100,0.0
0.28499988, 100,1.0
0.28999987, 100,0.0
0.29499987, 100,0.0
0.29999986, 100,0.0
0.30499986, 100,0.0
0.30999985, 100,0.0
0.31499985, 100,0.0
0.31999984, 100,0.0
0.32499984, 100,0.0
0.32999983, 100,0.0
0.33499983, 100,1.0
0.33999982, 100,0.0
0.34499982, 100,0.0
0.34999982, 100,0.0
0.3549998, 100,0.0
0.3599998, 100,1.0
0.3649998, 100,0.0
0.3699998, 100,0.0
0.3749998, 100,1.0
0.3799998, 100,0.0
0.38499978, 100,0.0
0.38999978, 100,0.0
0.39499977, 100,0.0
0.39999977, 100,0.0
0.40499976, 100,0.0
0.40999976, 100,0.0
0.41499975, 100,0.0
0.41999975, 100,0.0
0.42499974, 100,0.0
0.42999974, 100,0.0
0.43499973, 100,0.0
0.43999973, 100,0.0
0.44499972, 100,0.0
0.44999972, 100,0.0
0.45499972, 100,0.0
0.4599997, 100,0.0
0.4649997, 100,0.0
0.4699997, 100,0.0
0.4749997, 100,0.0
0.4799997, 100,0.0
0.4849997, 100,0.0
0.48999968, 100,0.0
0.49499968, 100,0.0
0.49999967, 100,0.0
0.5049997, 100,0.0
0.5099997, 100,0.0
0.5149997, 100,1.0
0.5199997, 100,0.0
0.5249997, 100,0.0
0.5299997, 100,0.0
0.53499967, 100,0.0
0.53999966, 100,0.0
0.54499966, 100,0.0
0.54999965, 100,0.0
0.55499965, 100,0.0
0.55999964, 100,0.0
0.56499964, 100,0.0
0.56999964, 100,0.0
0.57499963, 100,2.0
0.5799996, 100,0.0
0.5849996, 100,0.0
0.5899996, 100,0.0
0.5949996, 100,0.0
0.5999996, 100,0.0
0.6049996, 100,0.0
0.6099996, 100,0.0
0.6149996, 100,0.0
0.6199996, 100,0.0
0.6249996, 100,0.0
0.6299996, 100,0.0
0.6349996, 100,1.0
0.63999957, 100,0.0
0.64499956, 100,0.0
0.64999956, 100,0.0
0.65499955, 100,0.0
0.65999955, 100,0.0
0.66499954, 100,0.0
0.66999954, 100,0.0
0.67499954, 100,0.0
0.67999953, 100,0.0
0.6849995, 100,0.0
0.6899995, 100,0.0
0.6949995, 100,0.0
0.6999995, 100,0.0
0.7049995, 100,0.0
0.7099995, 100,0.0
0.7149995, 100,0.0
0.7199995, 100,1.0
0.7249995, 100,0.0
0.7299995, 100,0.0
0.7349995, 100,0.0
0.7399995, 100,0.0
0.74499947, 100,0.0
0.74999946, 100,0.0
0.75499946, 100,0.0
0.75999945, 100,0.0
0.76499945, 100,0.0
0.76999944, 100,0.0
0.77499944, 100,0.0
0.77999943, 100,0.0
0.78499943, 100,1.0
0.7899994, 100,0.0
0.7949994, 100,0.0
0.7999994, 100,0.0
0.8049994, 100,0.0
0.8099994, 100,0.0
0.8149994, 100,0.0
0.8199994, 100,0.0
0.8249994, 100,0.0
0.8299994, 100,0.0
0.8349994, 100,0.0
0.8399994, 100,1.0
0.8449994, 100,0.0
0.84999937, 100,0.0
0.85499936, 100,0.0
0.85999936, 100,0.0
0.86499935, 100,0.0
0.86999935, 100,0.0
0.87499934, 100,0.0
0.87999934, 100,1.0
0.88499933, 100,0.0
0.88999933, 100,0.0
0.8949993, 100,0.0
0.8999993, 100,0.0
0.9049993, 100,0.0
0.9099993, 100,0.0
0.9149993, 100,0.0
0.9199993, 100,0.0
0.9249993, 100,0.0
0.9299993, 100,0.0
0.9349993, 100,0.0
0.9399993, 100,0.0
0.9449993, 100,0.0
0.9499993, 100,0.0
0.95499927, 100,0.0
0.95999926, 100,0.0
0.96499926, 100,0.0
0.96999925, 100,0.0
0.97499925, 100,0.0
0.97999924, 100,0.0
0.98499924, 100,0.0
0.98999923, 100,1.0
0.99499923, 100,0.0
0.9999992, 100,0.0
1.0049993, 100,0.0
1.0099993, 100,0.0
1.0149993, 100,0.0
1.0199993, 100,0.0
1.0249993, 100,0.0
1.0299993, 100,0.0
1.0349993, 100,1.0
1.0399992, 100,0.0
1.0449992, 100,0.0
1.0499992, 100,1.0
1.0549992, 100,0.0
1.0599992, 100,0.0
1.0649992, 100,0.0
1.0699992, 100,0.0
1.0749992, 100,0.0
1.0799992, 100,0.0
1.0849992, 100,0.0
1.0899992, 100,0.0
1.0949992, 100,0.0
1.0999992, 100,0.0
1.1049992, 100,0.0
1.1099992, 100,0.0
1.1149992, 100,0.0
1.1199992, 100,0.0
1.1249992, 100,0.0
1.1299992, 100,0.0
1.1349992, 100,0.0
1.1399992, 100,0.0
1.1449991, 100,0.0
1.1499991, 100,0.0
1.1549991, 100,0.0
1.1599991, 100,0.0
1.1649991, 100,0.0
1.1699991, 100,0.0
1.1749991, 100,0.0
1.1799991, 100,0.0
1.1849991, 100,0.0
1.1899991, 100,0.0
1.1949991, 100,0.0
1.1999991, 100,0.0
1.2049991, 100,0.0
1.2099991, 100,0.0
1.2149991, 100,0.0
1.2199991, 100,0.0
1.2249991, 100,0.0
1.2299991, 100,0.0
1.2349991, 100,0.0
1.239999, 100,0.0
1.244999, 100,0.0
1.249999, 100,0.0
1.254999, 100,0.0
1.259999, 100,0.0
1.264999, 100,0.0
1.269999, 100,0.0
1.274999, 100,0.0
1.279999, 100,0.0
1.284999, 100,0.0
1.289999, 100,0.0
1.294999, 100,0.0
1.299999, 100,0.0
1.304999, 100,0.0
1.309999, 100,0.0
1.314999, 100,0.0
1.319999, 100,0.0
1.324999, 100,0.0
1.329999, 100,0.0
1.334999, 100,0.0
1.339999, 100,0.0
1.344999, 100,0.0
1.349999, 100,0.0
1.354999, 100,0.0
1.359999, 100,1.0
1.3649989, 100,0.0
1.3699989, 100,0.0
1.3749989, 100,0.0
1.3799989, 100,0.0
1.3849989, 100,0.0
1.3899989, 100,0.0
1.3949989, 100,0.0
1.3999989, 100,0.0
1.4049989, 100,0.0
1.4099989, 100,0.0
